raw_order_item,canonical_name
SNOW box,Snow box
SOL set,SOL set
Summer blankets,Summer blankets
TAMI unisex box,TAMI unisex box
Tetra Boho blanket,Tetra Boho blanket
Theo box,Theo box
TITI brown box,TITI brown box
TITI new box,TITI new box
TITI pink box,TITI pink box
Toytoy tetra blanket,Toytoy tetra blanket
Waffle overalls,Waffle overalls
Waffle summer blanket,Waffle summer blanket
Winter Shaya box,Winter Shaya box
Wooden blocks,Wooden blocks
Wooden brush,Wooden brush
Wooden car,Wooden car
Yo-yo winter box,Yo-yo winter box
Yoyo box,Yoyo box
YULI set,YULI set
YULI set 2024,YULI set 2024
"  אוברול ריב, ניתן להוסיף רקמת שם - Rib overall",Rib overall
"אוברול ריב, ניתן להוסיף רקמת שם - Rib overall",Rib overall
בובת ארנבון עם רקמת שם - My new Bunny,My new Bunny
  בובת ארנבון עם רקמת שם - My new Bunny,My new Bunny
טטרה ענקית הדפס ארנבים- Bunny tetra blanket,Bunny tetra blanket
טטרה גדולה הדפס ארנבים- Bunny tetra blanket,Bunny tetra blanket
  טטרה חלומית עם רקמת שם - Our dreamy tetra blanket,Our dreamy tetra blanket
טטרה ענקית הדפס דובונים - Beary tetra blanket,Beary tetra blanket
 טטרה ענקית הדפס משחקים- Toytoy tetra blanket,Toytoy tetra blanket
 מארז מתנה להולדת הבן- It’s a boy box 🤍,It’s a boy! box
 מארז מתנה להולדת הבת- It’s a girl! box,It’s a girl! box
מארז מתנה לתינוק - Brownie box,Brownie box
מארז מתנה לתינוק - Ari's special box,Ari's special box
 מארז מתנה לתינוק - Nivi box,Nivi box
מארז מתנה לתינוק - New SOL box,New SOL box
 מארז מתנה לתינוק - Ari's special box,Ari's special box
 מארז מתנה לתינוק -Chi-ky box,Chi-ky box
 מארז מתנה לתינוק- KIKI box,KIKI box
 מארז מתנה לתינוק -KAI exclusive box,KAI exclusive box
 מארז מתנה לתינוק -TITI new box,TITI new box
מארז מתנה לתינוק- Snow box,Snow box
מארז מתנה לתינוק -TITI new box,TITI new box
 מארז מתנה לתינוק- Lilly beige box,Lilly beige box
נשכן סיליקון במבי ,נשכן סיליקון במבי
רעשן נשכן סרוג ארנבון 🐰,רעשן נשכן סרוג ארנבון
רעשן נשכן סרוג דובי 🐻,רעשן נשכן סרוג דובי
שרשרת מחזיק מוצץ עם שם התינוק,שרשרת מחזיק מוצץ עם שם התינוק
שרשרת מחזיק מוצץ עם שם התינוק ,שרשרת מחזיק מוצץ עם שם התינוק
תוספת רקמת שם על שמיכה במארז קיים,תוספת רקמת שם על שמיכה במארז קיים
תוספת תשלום למשלוח מהיר,תוספת תשלום למשלוח מהיר
